id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
268,2012,Kolkata,2012-04-12,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,PP Shaw,Eden Gardens,Umpire A,Umpire B
269,2012,Ahmedabad,2012-04-09,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,normal,0,Lucknow Super Giants,44,0,S Dhawan,Narendra Modi Stadium,Umpire A,Umpire B
270,2012,Chennai,2012-04-23,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,2,0,AM Rahane,MA Chidambaram Stadium,Umpire A,Umpire B
271,2012,Jaipur,2012-04-12,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,normal,0,Delhi Capitals,52,0,RG Sharma,Sawai Mansingh Stadium,Umpire A,Umpire B
272,2012,Ahmedabad,2012-04-16,Delhi Capitals,Punjab Kings,Punjab Kings,bat,normal,0,Punjab Kings,15,0,AB de Villiers,Narendra Modi Stadium,Umpire A,Umpire B
273,2012,Ahmedabad,2012-04-07,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,8,S Dhawan,Narendra Modi Stadium,Umpire A,Umpire B
274,2012,Ahmedabad,2012-04-25,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,normal,0,Lucknow Super Giants,52,0,RR Pant,Narendra Modi Stadium,Umpire A,Umpire B
275,2012,Chennai,2012-04-03,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,normal,0,Delhi Capitals,1,0,KA Pollard,MA Chidambaram Stadium,Umpire A,Umpire B
276,2012,Hyderabad,2012-04-05,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,bat,normal,0,Delhi Capitals,76,0,CH Gayle,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
277,2012,Mumbai,2012-04-01,Punjab Kings,Rajasthan Royals,Punjab Kings,field,normal,0,Rajasthan Royals,0,6,HH Pandya,Wankhede Stadium,Umpire A,Umpire B
278,2012,Bangalore,2012-04-13,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Delhi Capitals,31,0,S Dhawan,M Chinnaswamy Stadium,Umpire A,Umpire B
279,2012,Ahmedabad,2012-04-13,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,normal,0,Lucknow Super Giants,0,1,V Kohli,Narendra Modi Stadium,Umpire A,Umpire B
280,2012,Delhi,2012-04-24,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Royal Challengers Bangalore,0,3,KS Williamson,Arun Jaitley Stadium,Umpire A,Umpire B
281,2012,Mumbai,2012-04-29,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,V Kohli,Wankhede Stadium,Umpire A,Umpire B
282,2012,Jaipur,2012-04-06,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,normal,0,Royal Challengers Bangalore,42,0,V Kohli,Sawai Mansingh Stadium,Umpire A,Umpire B
283,2012,Ahmedabad,2012-04-12,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,field,normal,0,Mumbai Indians,0,5,PP Shaw,Narendra Modi Stadium,Umpire A,Umpire B
284,2012,Ahmedabad,2012-04-02,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,0,Punjab Kings,60,0,V Kohli,Narendra Modi Stadium,Umpire A,Umpire B
285,2012,Ahmedabad,2012-04-19,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,0,8,JM Bairstow,Narendra Modi Stadium,Umpire A,Umpire B
286,2012,Hyderabad,2012-04-23,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,bat,normal,0,Chennai Super Kings,21,0,CH Gayle,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
287,2012,Kolkata,2012-04-19,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,1,Q de Kock,Eden Gardens,Umpire A,Umpire B
288,2012,Jaipur,2012-04-24,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,9,RR Pant,Sawai Mansingh Stadium,Umpire A,Umpire B
289,2012,Bangalore,2012-04-14,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,54,0,KA Pollard,M Chinnaswamy Stadium,Umpire A,Umpire B
290,2012,Delhi,2012-04-26,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,bat,normal,0,Kolkata Knight Riders,39,0,RG Sharma,Arun Jaitley Stadium,Umpire A,Umpire B
291,2012,Jaipur,2012-04-18,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,18,0,KA Pollard,Sawai Mansingh Stadium,Umpire A,Umpire B
292,2012,Kolkata,2012-04-15,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Delhi Capitals,0,4,G Gambhir,Eden Gardens,Umpire A,Umpire B
293,2012,Jaipur,2012-04-18,Mumbai Indians,Punjab Kings,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,KL Rahul,Sawai Mansingh Stadium,Umpire A,Umpire B
294,2012,Kolkata,2012-04-22,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,no result,0,,0,0,IS Sodhi,Eden Gardens,Umpire A,Umpire B
295,2012,Bangalore,2012-04-28,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,0,5,AM Rahane,M Chinnaswamy Stadium,Umpire A,Umpire B
296,2012,Mumbai,2012-04-09,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Rajasthan Royals,32,0,SK Raina,Wankhede Stadium,Umpire A,Umpire B
297,2012,Delhi,2012-04-20,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,2,SK Raina,Arun Jaitley Stadium,Umpire A,Umpire B
298,2012,Mumbai,2012-04-29,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,bat,normal,0,Royal Challengers Bangalore,52,0,PP Shaw,Wankhede Stadium,Umpire A,Umpire B
299,2012,Jaipur,2012-04-12,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,0,Sunrisers Hyderabad,0,8,SR Watson,Sawai Mansingh Stadium,Umpire A,Umpire B
300,2012,Jaipur,2012-04-24,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,4,S Dhawan,Sawai Mansingh Stadium,Umpire A,Umpire B
301,2012,Pune,2012-04-16,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,no result,0,,0,0,PP Shaw,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
302,2012,Hyderabad,2012-04-02,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,no result,0,,0,0,G Gambhir,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
303,2012,Delhi,2012-04-26,Punjab Kings,Gujarat Titans,Gujarat Titans,field,normal,0,Punjab Kings,0,4,AB de Villiers,Arun Jaitley Stadium,Umpire A,Umpire B
304,2012,Hyderabad,2012-04-10,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,HH Pandya,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
305,2012,Ahmedabad,2012-04-13,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,3,G Gambhir,Narendra Modi Stadium,Umpire A,Umpire B
306,2012,Pune,2012-04-05,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,IS Sodhi,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
307,2012,Ahmedabad,2012-04-14,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,1,RG Sharma,Narendra Modi Stadium,Umpire A,Umpire B
308,2012,Hyderabad,2012-04-15,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,76,0,KS Williamson,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
309,2012,Mumbai,2012-04-29,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,normal,0,Kolkata Knight Riders,58,0,DA Warner,Wankhede Stadium,Umpire A,Umpire B
310,2012,Delhi,2012-04-06,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,HH Pandya,Arun Jaitley Stadium,Umpire A,Umpire B
311,2012,Bangalore,2012-04-08,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,normal,0,Mumbai Indians,31,0,RR Pant,M Chinnaswamy Stadium,Umpire A,Umpire B
312,2012,Ahmedabad,2012-04-04,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,normal,0,Gujarat Titans,0,6,PP Shaw,Narendra Modi Stadium,Umpire A,Umpire B
313,2012,Ahmedabad,2012-04-21,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,no result,0,,0,0,RR Pant,Narendra Modi Stadium,Umpire A,Umpire B
314,2012,Mohali,2012-04-09,Punjab Kings,Rajasthan Royals,Punjab Kings,field,normal,0,Rajasthan Royals,0,6,SR Watson,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
315,2012,Pune,2012-04-01,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,2,DA Warner,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
316,2012,Chennai,2012-04-24,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,field,normal,0,Sunrisers Hyderabad,0,6,G Gambhir,MA Chidambaram Stadium,Umpire A,Umpire B
317,2012,Jaipur,2012-04-17,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,normal,0,Gujarat Titans,79,0,V Kohli,Sawai Mansingh Stadium,Umpire A,Umpire B
318,2012,Delhi,2012-04-22,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,field,normal,0,Gujarat Titans,0,2,PP Shaw,Arun Jaitley Stadium,Umpire A,Umpire B
319,2012,Mohali,2012-04-24,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,normal,0,Gujarat Titans,0,6,JM Bairstow,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
320,2012,Ahmedabad,2012-04-19,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,normal,0,Delhi Capitals,74,0,DA Warner,Narendra Modi Stadium,Umpire A,Umpire B
321,2012,Ahmedabad,2012-04-05,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,bat,normal,0,Sunrisers Hyderabad,12,0,S Dhawan,Narendra Modi Stadium,Umpire A,Umpire B
322,2012,Jaipur,2012-04-23,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,normal,0,Lucknow Super Giants,0,6,PP Shaw,Sawai Mansingh Stadium,Umpire A,Umpire B
323,2012,Ahmedabad,2012-04-20,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,normal,0,Punjab Kings,72,0,Q de Kock,Narendra Modi Stadium,Umpire A,Umpire B
324,2012,Mohali,2012-04-21,Gujarat Titans,Delhi Capitals,Delhi Capitals,bat,normal,0,Delhi Capitals,51,0,RG Sharma,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
325,2012,Pune,2012-04-04,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,Q de Kock,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
326,2012,Ahmedabad,2012-04-27,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Delhi Capitals,64,0,SK Raina,Narendra Modi Stadium,Umpire A,Umpire B
327,2012,Bangalore,2012-04-26,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,normal,0,Punjab Kings,5,0,AM Rahane,M Chinnaswamy Stadium,Umpire A,Umpire B
328,2012,Jaipur,2012-04-27,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,12,0,SR Watson,Sawai Mansingh Stadium,Umpire A,Umpire B
329,2012,Pune,2012-04-15,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,30,0,V Kohli,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
330,2012,Chennai,2012-04-18,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,normal,0,Mumbai Indians,4,0,DA Warner,MA Chidambaram Stadium,Umpire A,Umpire B
331,2012,Mohali,2012-04-23,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,G Gambhir,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
332,2012,Chennai,2012-04-14,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,1,KS Williamson,MA Chidambaram Stadium,Umpire A,Umpire B
333,2013,Mumbai,2013-04-17,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,no result,0,,0,0,G Gambhir,Wankhede Stadium,Umpire A,Umpire B
334,2013,Pune,2013-04-07,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,44,0,SR Watson,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
335,2013,Bangalore,2013-04-04,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,no result,0,,0,0,IS Sodhi,M Chinnaswamy Stadium,Umpire A,Umpire B
336,2013,Mumbai,2013-04-15,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,normal,0,Punjab Kings,58,0,IS Sodhi,Wankhede Stadium,Umpire A,Umpire B
337,2013,Delhi,2013-04-26,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,normal,0,Sunrisers Hyderabad,0,8,RG Sharma,Arun Jaitley Stadium,Umpire A,Umpire B
338,2013,Delhi,2013-04-05,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,normal,0,Punjab Kings,68,0,Q de Kock,Arun Jaitley Stadium,Umpire A,Umpire B
339,2013,Mohali,2013-04-16,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,2,RG Sharma,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
340,2013,Chennai,2013-04-05,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,normal,0,Mumbai Indians,0,8,SR Watson,MA Chidambaram Stadium,Umpire A,Umpire B
341,2013,Hyderabad,2013-04-20,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,normal,0,Gujarat Titans,0,2,AB de Villiers,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
342,2013,Pune,2013-04-21,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,AM Rahane,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
343,2013,Pune,2013-04-23,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,no result,0,,0,0,V Kohli,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
344,2013,Bangalore,2013-04-07,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,AM Rahane,M Chinnaswamy Stadium,Umpire A,Umpire B
345,2013,Ahmedabad,2013-04-13,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,no result,0,,0,0,RG Sharma,Narendra Modi Stadium,Umpire A,Umpire B
346,2013,Hyderabad,2013-04-14,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,3,AM Rahane,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
347,2013,Hyderabad,2013-04-18,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,normal,0,Kolkata Knight Riders,0,3,SR Watson,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
348,2013,Ahmedabad,2013-04-04,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,normal,0,Gujarat Titans,0,7,HH Pandya,Narendra Modi Stadium,Umpire A,Umpire B
349,2013,Mohali,2013-04-06,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,normal,0,Gujarat Titans,32,0,Q de Kock,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
350,2013,Ahmedabad,2013-04-04,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,4,KA Pollard,Narendra Modi Stadium,Umpire A,Umpire B
351,2013,Bangalore,2013-04-04,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Sunrisers Hyderabad,9,0,RG Sharma,M Chinnaswamy Stadium,Umpire A,Umpire B
352,2013,Bangalore,2013-04-09,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,normal,0,Chennai Super Kings,0,7,MS Dhoni,M Chinnaswamy Stadium,Umpire A,Umpire B
353,2013,Delhi,2013-04-05,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,no result,0,,0,0,Q de Kock,Arun Jaitley Stadium,Umpire A,Umpire B
354,2013,Chennai,2013-04-26,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,no result,0,,0,0,DA Warner,MA Chidambaram Stadium,Umpire A,Umpire B
355,2013,Pune,2013-04-03,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Sunrisers Hyderabad,15,0,SK Raina,Maharashtra Cricket Association Stadium,Umpire A,Umpire B
356,2013,Jaipur,2013-04-03,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,no result,0,,0,0,SK Raina,Sawai Mansingh Stadium,Umpire A,Umpire B
357,2013,Mumbai,2013-04-21,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,4,KA Pollard,Wankhede Stadium,Umpire A,Umpire B
358,2013,Kolkata,2013-04-02,Delhi Capitals,Punjab Kings,Delhi Capitals,field,normal,0,Punjab Kings,0,6,KS Williamson,Eden Gardens,Umpire A,Umpire B
359,2013,Bangalore,2013-04-04,Delhi Capitals,Punjab Kings,Punjab Kings,field,normal,0,Delhi Capitals,0,5,Q de Kock,M Chinnaswamy Stadium,Umpire A,Umpire B
360,2013,Chennai,2013-04-20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,no result,0,,0,0,RR Pant,MA Chidambaram Stadium,Umpire A,Umpire B
361,2013,Mohali,2013-04-28,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Punjab Kings,35,0,AM Rahane,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
362,2013,Mohali,2013-04-17,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Gujarat Titans,4,0,KS Williamson,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
363,2013,Mumbai,2013-04-06,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,normal,0,Chennai Super Kings,48,0,HH Pandya,Wankhede Stadium,Umpire A,Umpire B
364,2013,Hyderabad,2013-04-28,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,56,0,AM Rahane,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
365,2013,Ahmedabad,2013-04-08,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Chennai Super Kings,0,3,PP Shaw,Narendra Modi Stadium,Umpire A,Umpire B
366,2013,Bangalore,2013-04-25,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,normal,0,Sunrisers Hyderabad,0,5,G Gambhir,M Chinnaswamy Stadium,Umpire A,Umpire B
367,2013,Chennai,2013-04-01,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Chennai Super Kings,0,6,CH Gayle,MA Chidambaram Stadium,Umpire A,Umpire B
368,2013,Kolkata,2013-04-27,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,63,0,KL Rahul,Eden Gardens,Umpire A,Umpire B
369,2013,Ahmedabad,2013-04-27,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,normal,0,Mumbai Indians,16,0,KS Williamson,Narendra Modi Stadium,Umpire A,Umpire B
370,2013,Mumbai,2013-04-10,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,normal,0,Mumbai Indians,22,0,SK Raina,Wankhede Stadium,Umpire A,Umpire B
371,2013,Chennai,2013-04-16,Delhi Capitals,Gujarat Titans,Delhi Capitals,field,normal,0,Delhi Capitals,0,6,PP Shaw,MA Chidambaram Stadium,Umpire A,Umpire B
372,2013,Hyderabad,2013-04-28,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,normal,0,Sunrisers Hyderabad,0,8,AB de Villiers,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
373,2013,Hyderabad,2013-04-04,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,normal,0,Lucknow Super Giants,0,7,RR Pant,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
374,2013,Ahmedabad,2013-04-29,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Rajasthan Royals,45,0,JM Bairstow,Narendra Modi Stadium,Umpire A,Umpire B
375,2013,Delhi,2013-04-22,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,0,Royal Challengers Bangalore,0,1,AB de Villiers,Arun Jaitley Stadium,Umpire A,Umpire B
376,2013,Bangalore,2013-04-27,Chennai Super Kings,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,7,KL Rahul,M Chinnaswamy Stadium,Umpire A,Umpire B
377,2013,Mumbai,2013-04-05,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,6,HH Pandya,Wankhede Stadium,Umpire A,Umpire B
378,2013,Kolkata,2013-04-11,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Kolkata Knight Riders,0,6,SK Raina,Eden Gardens,Umpire A,Umpire B
379,2013,Jaipur,2013-04-21,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,8,0,KS Williamson,Sawai Mansingh Stadium,Umpire A,Umpire B
380,2013,Bangalore,2013-04-10,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,normal,0,Gujarat Titans,0,3,MS Dhoni,M Chinnaswamy Stadium,Umpire A,Umpire B
381,2013,Hyderabad,2013-04-17,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,bat,normal,0,Lucknow Super Giants,31,0,KA Pollard,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
382,2013,Mumbai,2013-04-27,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,field,no result,0,,0,0,AM Rahane,Wankhede Stadium,Umpire A,Umpire B
383,2013,Mumbai,2013-04-20,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Sunrisers Hyderabad,7,0,SK Raina,Wankhede Stadium,Umpire A,Umpire B
384,2013,Delhi,2013-04-22,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,9,0,V Kohli,Arun Jaitley Stadium,Umpire A,Umpire B
385,2013,Ahmedabad,2013-04-03,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,17,0,KS Williamson,Narendra Modi Stadium,Umpire A,Umpire B
386,2013,Jaipur,2013-04-28,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,DA Warner,Sawai Mansingh Stadium,Umpire A,Umpire B
387,2013,Chennai,2013-04-03,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,CH Gayle,MA Chidambaram Stadium,Umpire A,Umpire B
388,2013,Mumbai,2013-04-20,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,0,6,DA Warner,Wankhede Stadium,Umpire A,Umpire B
389,2013,Kolkata,2013-04-04,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,bat,normal,0,Lucknow Super Giants,17,0,AM Rahane,Eden Gardens,Umpire A,Umpire B
390,2013,Bangalore,2013-04-15,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,normal,0,Royal Challengers Bangalore,41,0,MS Dhoni,M Chinnaswamy Stadium,Umpire A,Umpire B
391,2013,Delhi,2013-04-23,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,normal,0,Lucknow Super Giants,64,0,MS Dhoni,Arun Jaitley Stadium,Umpire A,Umpire B
392,2013,Chennai,2013-04-23,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,no result,0,,0,0,SR Watson,MA Chidambaram Stadium,Umpire A,Umpire B
393,2013,Jaipur,2013-04-01,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,21,0,KL Rahul,Sawai Mansingh Stadium,Umpire A,Umpire B
394,2013,Mohali,2013-04-12,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,normal,0,Lucknow Super Giants,0,8,MS Dhoni,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
395,2013,Hyderabad,2013-04-20,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,normal,0,Rajasthan Royals,20,0,Q de Kock,Rajiv Gandhi International Cricket Stadium,Umpire A,Umpire B
396,2013,Ahmedabad,2013-04-02,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Lucknow Super Giants,32,0,MS Dhoni,Narendra Modi Stadium,Umpire A,Umpire B
397,2013,Kolkata,2013-04-20,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,bat,no result,0,,0,0,AM Rahane,Eden Gardens,Umpire A,Umpire B
398,2013,Bangalore,2013-04-14,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Gujarat Titans,0,1,S Dhawan,M Chinnaswamy Stadium,Umpire A,Umpire B
399,2013,Bangalore,2013-04-26,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,0,3,CH Gayle,M Chinnaswamy Stadium,Umpire A,Umpire B
400,2013,Ahmedabad,2013-04-26,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,3,RR Pant,Narendra Modi Stadium,Umpire A,Umpire B
401,2014,Mohali,2014-04-02,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,normal,0,Royal Challengers Bangalore,0,1,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Umpire A,Umpire B
